address,drink_names,prices,ratings,statuss,store_names
"20 An Trung 2, P. An Hải Tây, Quận Sơn Trà, Đà Nẵng",Đẹp Da,45000,4.5,Còn hàng,Sunny Coffee - An Trung 2
"78 Ngô Thì Nhậm, P. Hoà Minh, Quận Liên Chiểu, Đà Nẵng",Sinh tố mãng cầu,20000,4.5,Còn hàng,Sinh Tố Nga
"209 Phan Đăng Lưu, P. Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",Soda chanh,30000,4.5,Còn hàng,Milano Coffee - Phan Đăng Lưu
"605B Tôn Đức Thắng, P Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Trà Chanh Leo Thanh Long Đỏ,27000,4.5,Còn hàng,Mao - Coffee & BoBa Tea
"19 An Trung Đông 4, P. An Hải Bắc, Quận Sơn Trà, Đà Nẵng",Caramel Macchiato,45000,4.5,Còn hàng,The Nap Cafe
"15 Yên Bái, P. Hải Châu 1, Quận Hải Châu, Đà Nẵng",Strawberry,30000,4.5,Còn hàng,Smile Coffee
"155 Lê Đình Lý, P. Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng",Yogurt chanh dây,23000,4.5,Còn hàng,Cafe & Trà Sữa BandB - Lê Đình Lý
"953 Ngô Quyền, Quận Sơn Trà, Đà Nẵng",Chân gà sả ớt,30000,4.5,Còn hàng,Hali - Juice & Coffee - Ngô Quyền
"42 - 44 Hồ Tương, P. Thanh Khê Đông, Quận Thanh Khê, Đà Nẵng",Sinh tố xoài,29000,4.5,Còn hàng,My's Coffee
"5 Phan Đình Phùng, P. Hải Châu I, Quận Hải Châu, Đà Nẵng",Cafe Đen nguyên chất chai 500ml,70000,4.5,Còn hàng,Boconganh Bobatea
"122 Lương Nhữ Hộc, P. Hoà Cường Bắc, Quận Hải Châu, Đà Nẵng",Yogurt việt quất (đá viên),25000,4.5,Còn hàng,Vivi's Coffee House
"122 Lương Nhữ Hộc, P. Hoà Cường Bắc, Quận Hải Châu, Đà Nẵng",Yogurt dâu (đá viên),25000,4.5,Còn hàng,Vivi's Coffee House
"154 Dũng Sĩ Thanh Khê, P. Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng",Trà Sữa 2J,25000,4.5,Còn hàng,Trà Sữa Mixue - Dũng Sĩ Thanh Khê
"K126/23 Nguyễn Duy Hiệu, P. An Hải Đông, Quận Sơn Trà, Đà Nẵng",Kimpap Chiên,25000,4.5,Còn hàng,2CE - Trà Sữa & Ăn Vặt
"382 Nguyễn Hoàng, P. Bình Thuận, Quận Hải Châu, Đà Nẵng",Nước chanh dây,20000,4.5,Còn hàng,Sinh Tố - Nước Ép Cô Thu - Nguyễn Hoàng
"292A Tôn Đản, P. Hòa An, Quận Cẩm Lệ, Đà Nẵng",Kem Plan,5000,4.5,Còn hàng,BandB - Cafe & Trà Sữa - Tôn Đản
"10 Khúc Hạo, P. Mân Thái, Quận Sơn Trà, Đà Nẵng",Trà Sữa Thái Xanh Size 650ml Đặc Biệt,25000,4.5,Còn hàng,Trà Sữa & Cà Phê Sắc Màu
"20 An Trung 2, P. An Hải Tây, Quận Sơn Trà, Đà Nẵng",Đẹp Tóc,45000,4.5,Còn hàng,Sunny Coffee - An Trung 2
"20 An Trung 2, P. An Hải Tây, Quận Sơn Trà, Đà Nẵng",Cacao đá xay,40000,4.5,Còn hàng,Sunny Coffee - An Trung 2
"78 Ngô Thì Nhậm, P. Hoà Minh, Quận Liên Chiểu, Đà Nẵng",Sinh tố sampôchê,20000,4.5,Còn hàng,Sinh Tố Nga
"209 Phan Đăng Lưu, P. Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",Soda dâu,30000,4.5,Còn hàng,Milano Coffee - Phan Đăng Lưu
"605B Tôn Đức Thắng, P Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Trà Chanh Hoa Đậu Biếc,22000,4.5,Còn hàng,Mao - Coffee & BoBa Tea
"19 An Trung Đông 4, P. An Hải Bắc, Quận Sơn Trà, Đà Nẵng",Americano,39000,4.5,Còn hàng,The Nap Cafe
"15 Yên Bái, P. Hải Châu 1, Quận Hải Châu, Đà Nẵng",Vanilla,30000,4.5,Còn hàng,Smile Coffee
"155 Lê Đình Lý, P. Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng",Sữa Chua Việt Quất,23000,4.5,Còn hàng,Cafe & Trà Sữa BandB - Lê Đình Lý
"155 Lê Đình Lý, P. Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng",Sữa Chua Dâu,23000,4.5,Còn hàng,Cafe & Trà Sữa BandB - Lê Đình Lý
"953 Ngô Quyền, Quận Sơn Trà, Đà Nẵng",Khô gà,30000,4.5,Còn hàng,Hali - Juice & Coffee - Ngô Quyền
"42 - 44 Hồ Tương, P. Thanh Khê Đông, Quận Thanh Khê, Đà Nẵng",Sinh tố chanh dây,29000,4.5,Còn hàng,My's Coffee
"5 Phan Đình Phùng, P. Hải Châu I, Quận Hải Châu, Đà Nẵng",Sữa chua thạch,23000,4.5,Còn hàng,Boconganh Bobatea
"122 Lương Nhữ Hộc, P. Hoà Cường Bắc, Quận Hải Châu, Đà Nẵng",Sữa chua dâu tươi (đá xay),35000,4.5,Còn hàng,Vivi's Coffee House
"K126/23 Nguyễn Duy Hiệu, P. An Hải Đông, Quận Sơn Trà, Đà Nẵng",Khoai Tây Chiên,15000,4.5,Còn hàng,2CE - Trà Sữa & Ăn Vặt
"382 Nguyễn Hoàng, P. Bình Thuận, Quận Hải Châu, Đà Nẵng",Nước chanh xí mụi,16000,4.5,Còn hàng,Sinh Tố - Nước Ép Cô Thu - Nguyễn Hoàng
"292A Tôn Đản, P. Hòa An, Quận Cẩm Lệ, Đà Nẵng",Trân Châu Đen,5000,4.5,Còn hàng,BandB - Cafe & Trà Sữa - Tôn Đản
"10 Khúc Hạo, P. Mân Thái, Quận Sơn Trà, Đà Nẵng",Ts Vị Socola size 500ml Đặc biệt,19000,4.5,Còn hàng,Trà Sữa & Cà Phê Sắc Màu
"20 An Trung 2, P. An Hải Tây, Quận Sơn Trà, Đà Nẵng",Trà xanh đá xay,40000,4.5,Còn hàng,Sunny Coffee - An Trung 2
"78 Ngô Thì Nhậm, P. Hoà Minh, Quận Liên Chiểu, Đà Nẵng",Sinh tố dâu Còn hàng mãng cầu,20080,4.5,Còn hàng,Sinh Tố Nga
"209 Phan Đăng Lưu, P. Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",Soda chanh dây,30000,4.5,Còn hàng,Milano Coffee - Phan Đăng Lưu
"605B Tôn Đức Thắng, P Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Trà Hoa Đậu Biếc Kem Cheese,27000,4.5,Còn hàng,Mao - Coffee & BoBa Tea
"19 An Trung Đông 4, P. An Hải Bắc, Quận Sơn Trà, Đà Nẵng",Matcha Latte,42000,4.5,Còn hàng,The Nap Cafe
"15 Yên Bái, P. Hải Châu 1, Quận Hải Châu, Đà Nẵng",Sinh tố dâu,32000,4.5,Còn hàng,Smile Coffee
"155 Lê Đình Lý, P. Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng",Sữa chua chanh dây,23000,4.5,Còn hàng,Cafe & Trà Sữa BandB - Lê Đình Lý
"953 Ngô Quyền, Quận Sơn Trà, Đà Nẵng",Cá viên chiên,10000,4.5,Còn hàng,Hali - Juice & Coffee - Ngô Quyền
"42 - 44 Hồ Tương, P. Thanh Khê Đông, Quận Thanh Khê, Đà Nẵng",Sinh tố cà chua,29000,4.5,Còn hàng,My's Coffee
"122 Lương Nhữ Hộc, P. Hoà Cường Bắc, Quận Hải Châu, Đà Nẵng",Yogurt chanh dây (đá viên),25000,4.5,Còn hàng,Vivi's Coffee House
"K126/23 Nguyễn Duy Hiệu, P. An Hải Đông, Quận Sơn Trà, Đà Nẵng",Khoai Lang Kén,18000,4.5,Còn hàng,2CE - Trà Sữa & Ăn Vặt
"382 Nguyễn Hoàng, P. Bình Thuận, Quận Hải Châu, Đà Nẵng",Nước ép cóc. Cà chua. Cà rốt. Ổi.,20000,4.5,Còn hàng,Sinh Tố - Nước Ép Cô Thu - Nguyễn Hoàng
"292A Tôn Đản, P. Hòa An, Quận Cẩm Lệ, Đà Nẵng",Trân Châu Trắng,6000,4.5,Còn hàng,BandB - Cafe & Trà Sữa - Tôn Đản
"10 Khúc Hạo, P. Mân Thái, Quận Sơn Trà, Đà Nẵng",TS Truyền Thống Size 650ml Đặc biệt,25000,4.5,Còn hàng,Trà Sữa & Cà Phê Sắc Màu
"20 An Trung 2, P. An Hải Tây, Quận Sơn Trà, Đà Nẵng",Việt quất đá xay,40000,4.5,Còn hàng,Sunny Coffee - An Trung 2
"78 Ngô Thì Nhậm, P. Hoà Minh, Quận Liên Chiểu, Đà Nẵng",Sinh tố xoài,20000,4.5,Còn hàng,Sinh Tố Nga
"209 Phan Đăng Lưu, P. Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",Soda dâu đá bào,30000,4.5,Còn hàng,Milano Coffee - Phan Đăng Lưu
"605B Tôn Đức Thắng, P Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Trà xoài kem cheese,25000,4.5,Còn hàng,Mao - Coffee & BoBa Tea
"19 An Trung Đông 4, P. An Hải Bắc, Quận Sơn Trà, Đà Nẵng",Espresso,35000,4.5,Còn hàng,The Nap Cafe
"15 Yên Bái, P. Hải Châu 1, Quận Hải Châu, Đà Nẵng",Sinh tố xoài,32000,4.5,Còn hàng,Smile Coffee
"155 Lê Đình Lý, P. Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng",Sữa Chua Đá,18000,4.5,Còn hàng,Cafe & Trà Sữa BandB - Lê Đình Lý
"953 Ngô Quyền, Quận Sơn Trà, Đà Nẵng",Bò viên chiên,10000,4.5,Còn hàng,Hali - Juice & Coffee - Ngô Quyền
"42 - 44 Hồ Tương, P. Thanh Khê Đông, Quận Thanh Khê, Đà Nẵng",Yogurt dâu,30000,4.5,Còn hàng,My's Coffee
"122 Lương Nhữ Hộc, P. Hoà Cường Bắc, Quận Hải Châu, Đà Nẵng",Yogurt xoài,30000,4.5,Còn hàng,Vivi's Coffee House
"K126/23 Nguyễn Duy Hiệu, P. An Hải Đông, Quận Sơn Trà, Đà Nẵng",Mực Viên Phủ Bột,12000,4.5,Còn hàng,2CE - Trà Sữa & Ăn Vặt
"382 Nguyễn Hoàng, P. Bình Thuận, Quận Hải Châu, Đà Nẵng",Nước dâu tằm,16000,4.5,Còn hàng,Sinh Tố - Nước Ép Cô Thu - Nguyễn Hoàng
"292A Tôn Đản, P. Hòa An, Quận Cẩm Lệ, Đà Nẵng",Kem Cheese,5000,4.5,Còn hàng,BandB - Cafe & Trà Sữa - Tôn Đản
"10 Khúc Hạo, P. Mân Thái, Quận Sơn Trà, Đà Nẵng",TS Thái Xanh Size 500ml Đặc biệt,18000,4.5,Còn hàng,Trà Sữa & Cà Phê Sắc Màu
"20 An Trung 2, P. An Hải Tây, Quận Sơn Trà, Đà Nẵng",Bánh oreo đá xay,40000,4.5,Còn hàng,Sunny Coffee - An Trung 2
