address,drink_names,prices,ratings,statuss,store_names
"292A Tôn Đản, P. Hòa An, Quận Cẩm Lệ, Đà Nẵng",Bento Lớn,18000,4.5,Còn hàng,BandB - Cafe & Trà Sữa - Tôn Đản
"10 Khúc Hạo, P. Mân Thái, Quận Sơn Trà, Đà Nẵng",Cà rốt sữa,18000,4.5,Còn hàng,Trà Sữa & Cà Phê Sắc Màu
"20 An Trung 2, P. An Hải Tây, Quận Sơn Trà, Đà Nẵng",Cleanse: thanh lọc,45000,4.5,Còn hàng,Sunny Coffee - An Trung 2
"78 Ngô Thì Nhậm, P. Hoà Minh, Quận Liên Chiểu, Đà Nẵng",Sinh tố hoa quả dầm,20000,4.5,Còn hàng,Sinh Tố Nga
"209 Phan Đăng Lưu, P. Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",Sinh tố Milano,32000,4.5,Còn hàng,Milano Coffee - Phan Đăng Lưu
"605B Tôn Đức Thắng, P Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Trà ổi hồng thanh long,27000,4.5,Còn hàng,Mao - Coffee & BoBa Tea
"19 An Trung Đông 4, P. An Hải Bắc, Quận Sơn Trà, Đà Nẵng",Hạt hướng dương,15000,4.5,Còn hàng,The Nap Cafe
"15 Yên Bái, P. Hải Châu 1, Quận Hải Châu, Đà Nẵng",Granita mâm xôi,36000,4.5,Còn hàng,Smile Coffee
"155 Lê Đình Lý, P. Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng",Khúc Bạch Sữa,5000,4.5,Còn hàng,Cafe & Trà Sữa BandB - Lê Đình Lý
"953 Ngô Quyền, Quận Sơn Trà, Đà Nẵng",Xúc xích,10000,4.5,Còn hàng,Hali - Juice & Coffee - Ngô Quyền
"42 - 44 Hồ Tương, P. Thanh Khê Đông, Quận Thanh Khê, Đà Nẵng",Socola đá xay caraman,32000,4.5,Còn hàng,My's Coffee
"5 Phan Đình Phùng, P. Hải Châu I, Quận Hải Châu, Đà Nẵng",1 chai Thái Xanh Còn hàng Trân Châu Đen,30000,4.5,Còn hàng,Boconganh Bobatea
